iter	RMSE
0	33.27489396
1	29.6010084
2	27.30560805
3	26.02433516
4	25.17805133
5	24.61899583
6	24.10686555
7	23.72323743
8	23.3924443
9	23.30321711
10	23.22726857
11	23.13513711
12	22.78188904
13	22.48076243
14	22.37398558
15	22.1289668
16	21.88092898
17	21.70571085
18	21.56441018
19	21.49134877
20	21.42087662
21	21.38714671
22	21.32280504
23	21.13811884
24	20.985461
25	20.88098888
26	20.85270829
27	20.61509142
28	20.48302919
29	20.28813621
30	20.08296627
31	19.97458349
32	19.76678807
33	19.7499938
34	19.60208543
35	19.46815253
36	19.30771034
37	19.242186
38	19.17350125
39	19.05664231
40	18.91333512
41	18.71757467
42	18.70911332
43	18.57720034
44	18.48744377
45	18.31294591
46	18.21100113
47	18.06356416
48	17.95254004
49	17.94515268
50	17.83793614
51	17.74651462
52	17.71938171
53	17.61668951
54	17.47123005
55	17.36443209
56	17.2488937
57	17.11442639
58	17.00326866
59	16.90380272
60	16.80039027
61	16.78162628
62	16.69352382
63	16.61243055
64	16.5598001
65	16.47082439
66	16.39238606
67	16.27391439
68	16.19831099
69	16.18793019
70	16.10859604
71	15.98916029
72	15.95435163
73	15.86778605
74	15.85469118
75	15.73810783
76	15.73247859
77	15.69909723
78	15.60014683
79	15.49046024
80	15.43920763
81	15.43131917
82	15.34641421
83	15.26971412
84	15.14953786
85	15.08192233
86	15.02537963
87	14.99923591
88	14.93535672
89	14.90867845
90	14.82097814
91	14.73686819
92	14.63873449
93	14.61078612
94	14.52708461
95	14.48427411
96	14.38696773
97	14.33034365
98	14.26386538
99	14.18684489
