iter	Passed	Remaining
0	7	782
1	20	999
2	34	1129
3	54	1318
4	68	1306
5	71	1116
6	73	973
7	76	877
8	78	791
9	80	721
10	82	665
11	84	616
12	86	575
13	87	540
14	90	514
15	94	498
16	99	485
17	102	464
18	107	457
19	109	439
20	111	420
21	114	407
22	116	391
23	119	379
24	124	372
25	128	365
26	133	360
27	136	349
28	142	348
29	146	342
30	152	340
31	156	332
32	158	321
33	160	311
34	163	302
35	164	293
36	166	283
37	168	274
38	170	266
39	171	257
40	173	249
41	178	245
42	180	238
43	181	231
44	183	223
45	184	217
46	186	210
47	188	204
48	190	198
49	193	193
50	195	187
51	196	181
52	198	175
53	199	169
54	200	164
55	202	158
56	203	153
57	205	148
58	207	143
59	210	140
60	211	135
61	213	130
62	215	126
63	217	122
64	219	118
65	221	114
66	225	111
67	227	107
68	229	103
69	231	99
70	233	95
71	235	91
72	238	88
73	242	85
74	244	81
75	245	77
76	248	74
77	251	70
78	253	67
79	257	64
80	259	60
81	262	57
82	264	54
83	265	50
84	267	47
85	270	43
86	271	40
87	273	37
88	274	33
89	276	30
90	277	27
91	279	24
92	280	21
93	281	17
94	286	15
95	288	12
96	291	9
97	293	5
98	295	2
99	296	0
